#NAME	ID	UNICODE
uni200C	220	U+200C
uni200D	221	U+200D
uni25CC	222	U+25CC
uni18AA.isol	223	U+18AA
uni18AA.init	224	
uni18AA.medi	225	
uni1800	226	U+1800
uni11660	227	U+11660
uni11661	228	U+11661
uni11662	229	U+11662
uni11663	230	U+11663
uni1801	231	U+1801
uni1802	232	U+1802
uni1803	233	U+1803
uni1804	234	U+1804
uni1805	235	U+1805
uni1806	236	U+1806
uni1807.isol	237	U+1807
uni1807.medi	238	
uni1808	239	U+1808
uni1809	240	U+1809
uni180A.isol	241	U+180A
uni180A.init	242	
uni180B	243	U+180B
uni180C	244	U+180C
uni180D	245	U+180D
uni180E	246	U+180E
uni1810	247	U+1810
uni1811	248	U+1811
uni1812	249	U+1812
uni1813	250	U+1813
uni1814	251	U+1814
uni1815	252	U+1815
uni1816	253	U+1816
uni1817	254	U+1817
uni1818	255	U+1818
uni1819	256	U+1819
uni1820.isol	257	U+1820
uni1820.isolvar1	258	
uni1820.init	259	
uni1820.medi	260	
uni1820.medivar1	261	
uni1820.finavar2	262	
uni1820.fina	263	
uni1820.finavar1	264	
uni1820.finaaltobsolete	265	
uni1820.initvar1	266	
uni1820.isolvar2	267	
uni1820.mvsaltobsolete	268	
uni1820.finavar2obsolete	269	
uni18201843.isollong	270	
uni18201843.finalong	271	
uni18201843.initlong	272	
uni18201843.medilong	273	
uni1821.isol	274	U+1821
uni1821.init	275	
uni1821.initvar1	276	
uni1821.medi	277	
uni1821.fina	278	
uni1821.finavar1	279	
uni1821.finaaltobsolete	280	
uni1821.isolvar1	281	
uni1821.mvsaltobsolete	282	
uni1821.finavar2	283	
uni1822.isol	284	U+1822
uni1822.init	285	
uni1822.medi	286	
uni1822.medivar1	287	
uni1822.fina	288	
uni1822.medivar2	289	
uni1822.medivar3	290	
uni1822.finavar1	291	
uni1823.isol	292	U+1823
uni1823.init	293	
uni1823.medi	294	
uni1823.medivar1	295	
uni1823.fina	296	
uni1823.finavar1	297	
uni1824.initvar2	298	
uni1824.init	299	
uni1824.medi	300	
uni1824.medivar1	301	
uni1824.fina	302	
uni1824.finavar1	303	
uni1824.isol	304	U+1824
uni1824.isolvar2	305	
uni18241824.question	306	
uni1825.isol	307	U+1825
uni1825.init	308	
uni1825.medivar1	309	
uni1825.medi	310	
uni1825.medivar2	311	
uni1825.fina	312	
uni1825.finavar1	313	
uni1826.initvar2	314	
uni1826.isolvar1	315	
uni1826.init	316	
uni1826.medivar1	317	
uni1826.medi	318	
uni1826.medivar2	319	
uni1826.fina	320	
uni1826.finavar1	321	
uni1826.initvar1	322	
uni1826.isol	323	U+1826
uni1826.isolvar3	324	
uni1826.finavar2	325	
uni1827.isol	326	U+1827
uni1827.init	327	
uni1827.medi	328	
uni1827.fina	329	
uni1828.isol	330	U+1828
uni1828.init	331	
uni1828.initvar1	332	
uni1828.medi	333	
uni1828.medivar1	334	
uni1828.medivar2obsolete	335	
uni1828.initvar2	336	
uni1828.fina	337	
uni1828.finaaltobsolete	338	
uni1828.finavar1	339	
uni1828.finavar2obsolete	340	
uni1828.finavar2	341	
uni1829.isol	342	U+1829
uni1829.init	343	
uni1829.medi	344	
uni1829.fina	345	
uni18291820.medimediobsolete	346	
uni18291828.medimedivar1	347	
uni1829182C.medifina	348	
uni1829182C.medifinavar1	349	
uni1829182C.medimedi	350	
uni1829182C.medimedivar1	351	
uni1829182D.medifina	352	
uni1829182D.medifinavar1	353	
uni1829182D.medimedi	354	
uni1829182D.medimedivar1	355	
uni1829182F.medimedi	356	
uni18291864.medimedi	357	
uni18291865.medimedi	358	
uni18291874.medifina	359	
uni18291874.medimedi	360	
uni18291874.medimedivar1	361	
uni182A.isol	362	U+182A
uni182A.init	363	
uni182A.medi	364	
uni182A.fina	365	
uni182A.finavar1	366	
uni182A1820.initfina	367	
uni182A1820.medifina	368	
uni182A1820.initmedi	369	
uni182A1820.medimedi	370	
uni182A1821.initfina	371	
uni182A1821.medifina	372	
uni182A1821.initmedi	373	
uni182A1821.medimedi	374	
uni182A1822.initfina	375	
uni182A1822.medifina	376	
uni182A1822.initmedi	377	
uni182A1822.medimedi	378	
uni182A1823.initfina	379	
uni182A1823.medifina	380	
uni182A1823.initmedi	381	
uni182A1823.medimedi	382	
uni182A1824.initfina	383	
uni182A1824.medifina	384	
uni182A1824.initmedi	385	
uni182A1824.medimedi	386	
uni182A1825.initfina	387	
uni182A1825.medifina	388	
uni182A1825.initmedi	389	
uni182A1825.medimedi	390	
uni182A1825.medifinavar1	391	
uni182A1825.medimedivar1	392	
uni182A1825.initfinavar1	393	
uni182A1825.initfinavar2obsolete	394	
uni182A1826.initfina	395	
uni182A1826.medifina	396	
uni182A1826.initmedi	397	
uni182A1826.medimedi	398	
uni182A1826.medifinavar1	399	
uni182A1826.medimedivar1	400	
uni182A1826.initfinavar1	401	
uni182A18261826.question	402	
uni182A1827.initfina	403	
uni182A1827.medifina	404	
uni182A1827.initmedi	405	
uni182A1827.medimedi	406	
uni182A182F.initmedi	407	
uni182A182F.medimedi	408	
uni182A1844.initfinaobsolete	409	
uni182A1844.medifinaobsolete	410	
uni182A1844.initmediobsolete	411	
uni182A1844.medimediobsolete	412	
uni182A1845.initfinaobsolete	413	
uni182A1845.medifinaobsolete	414	
uni182A1845.initmediobsolete	415	
uni182A1845.medimediobsolete	416	
uni182A1847.initfinaobsolete	417	
uni182A1847.medifinaobsolete	418	
uni182A1847.initmediobsolete	419	
uni182A1847.medimediobsolete	420	
uni182A1848.initfinaobsolete	421	
uni182A1848.medifinaobsolete	422	
uni182A1848.initmediobsolete	423	
uni182A1848.medimediobsolete	424	
uni182A1849.initfinaobsolete	425	
uni182A1849.medifinaobsolete	426	
uni182A1849.initmediobsolete	427	
uni182A1849.medimediobsolete	428	
uni182A185D.initfina	429	
uni182A185D.medifina	430	
uni182A185D.initmedi	431	
uni182A185D.medimedi	432	
uni182A185E.initfina	433	
uni182A185E.medifina	434	
uni182A185E.initmedi	435	
uni182A185E.medimedi	436	
uni182A1860.initfina	437	
uni182A1860.medifina	438	
uni182A1860.initmedi	439	
uni182A1860.medimedi	440	
uni182A1861.initfina	441	
uni182A1861.medifina	442	
uni182A1861.initmedi	443	
uni182A1861.medimedi	444	
uni182A1873.initfina	445	
uni182A1873.medifina	446	
uni182A1873.initmedi	447	
uni182A1873.medimedi	448	
uni182A1888.initfinaobsolete	449	
uni182A1888.medifinaobsolete	450	
uni182A1888.initmediobsolete	451	
uni182A1888.medimediobsolete	452	
uni182B.isol	453	U+182B
uni182B.init	454	
uni182B.medi	455	
uni182B.fina	456	
uni182B1820.initfina	457	
uni182B1820.medifina	458	
uni182B1820.initmedi	459	
uni182B1820.medimedi	460	
uni182B1821.initfina	461	
uni182B1821.medifina	462	
uni182B1821.initmedi	463	
uni182B1821.medimedi	464	
uni182B1822.initfina	465	
uni182B1822.medifina	466	
uni182B1822.initmedi	467	
uni182B1822.medimedi	468	
uni182B1823.initfina	469	
uni182B1823.medifina	470	
uni182B1823.initmedi	471	
uni182B1823.medimedi	472	
uni182B1824.initfina	473	
uni182B1824.medifina	474	
uni182B1824.initmedi	475	
uni182B1824.medimedi	476	
uni182B1825.initfina	477	
uni182B1825.medifina	478	
uni182B1825.initmedi	479	
uni182B1825.medimedi	480	
uni182B1825.initfinavar1	481	
uni182B1825.medifinavar1	482	
uni182B1825.medimedivar1	483	
uni182B1826.initfina	484	
uni182B1826.medifina	485	
uni182B1826.initmedi	486	
uni182B1826.medimedi	487	
uni182B1826.initfinavar1	488	
uni182B1826.medifinavar1	489	
uni182B1826.medimedivar1	490	
uni182B1827.initfina	491	
uni182B1827.medifina	492	
uni182B1827.initmedi	493	
uni182B1827.medimedi	494	
uni182B1888.initfinaobsolete	495	
uni182B1888.medifinaobsolete	496	
uni182B1888.initmediobsolete	497	
uni182B1888.medimediobsolete	498	
uni182C.isol	499	U+182C
uni182C.fina	500	
uni182C.init	501	
uni182C.medi	502	
uni182C.finavar1	503	
uni182C.isolvar1	504	
uni182C.initvar1	505	
uni182C.medivar1	506	
uni182C.medivar3obsolete	507	
uni182C.medivar2obsolete	508	
uni182C.isolvar2	509	
uni182C.isolvar3	510	
uni182C.finaaltobsolete	511	
uni182C1821.initfina	512	
uni182C1821.medifina	513	
uni182C1821.initmedi	514	
uni182C1821.medimedi	515	
uni182C1821.initfinavar1	516	
uni182C1821.medifinavar1	517	
uni182C1821.initmedivar1	518	
uni182C1821.medimedivar1	519	
uni182C1822.initfina	520	
uni182C1822.medifina	521	
uni182C1822.initmedi	522	
uni182C1822.medimedi	523	
uni182C1822.initfinavar1	524	
uni182C1822.medifinavar1	525	
uni182C1822.initmedivar1	526	
uni182C1822.medimedivar1	527	
uni182C1825.initfina000	528	
uni182C1825.medifina000	529	
uni182C1825.initmedi100	530	
uni182C1825.medimedi000	531	
uni182C1825.initfina001	532	
uni182C1825.initfina010	533	
uni182C1825.initfina011	534	
uni182C1825.medifina001	535	
uni182C1825.medifina010	536	
uni182C1825.medifina011	537	
uni182C1825.initmedi101	538	
uni182C1825.medimedi001	539	
uni182C1825.medimedi100	540	
uni182C1825.medimedi101	541	
uni182C1826.initfina000	542	
uni182C1826.medifina000	543	
uni182C1826.initmedi100	544	
uni182C1826.medimedi000	545	
uni182C1826.initfina001	546	
uni182C1826.initfina010	547	
uni182C1826.initfina011	548	
uni182C1826.medifina001	549	
uni182C1826.medifina010	550	
uni182C1826.medifina011	551	
uni182C1826.initmedi101	552	
uni182C1826.medimedi001	553	
uni182C1826.medimedi100	554	
uni182C1826.medimedi101	555	
uni182C1827.initfina	556	
uni182C1827.medifina	557	
uni182C1827.initmedi	558	
uni182C1827.medimedi	559	
uni182C1827.initfinavar1	560	
uni182C1827.medifinavar1	561	
uni182C1827.initmedivar1	562	
uni182C1827.medimedivar1	563	
uni182C1888.initfinaobsolete	564	
uni182C1888.medifinaobsolete	565	
uni182C1888.initmediobsolete	566	
uni182C1888.medimediobsolete	567	
uni182C1888.initfinavar1obsolete	568	
uni182C1888.medifinavar1obsolete	569	
uni182C1888.initmedivar1obsolete	570	
uni182C1888.medimedivar1obsolete	571	
uni182D.isol	572	U+182D
uni182D.fina	573	
uni182D.init	574	
uni182D.medi	575	
uni182D.finaaltobsolete	576	
uni182D.isolvar1	577	
uni182D.finavar1obsolete	578	
uni182D.finavar3	579	
uni182D.initvar1	580	
uni182D.initfemobsolete	581	
uni182D.medivar1	582	
uni182D.finavar5coy	583	
uni182D.medixobsolete	584	
uni182D.isolobsolete	585	
uni182D.finavar2	586	
uni182D.initvar2obsolete	587	
uni182D.medivar3obsolete	588	
uni182D1821.initfina	589	
uni182D1821.medifina	590	
uni182D1821.initmedi	591	
uni182D1821.medimedi	592	
uni182D1821.initfinavar1	593	
uni182D1821.medifinavar1	594	
uni182D1821.initmedivar1	595	
uni182D1821.medimedivar1	596	
uni182D1822.initfina	597	
uni182D1822.medifina	598	
uni182D1822.initmedi	599	
uni182D1822.medimedi	600	
uni182D1822.initfinavar1	601	
uni182D1822.medifinavar1	602	
uni182D1822.initmedivar1	603	
uni182D1822.medimedivar1	604	
uni182D1825.initfina000	605	
uni182D1825.medifina000	606	
uni182D1825.initmedi100	607	
uni182D1825.medimedi000	608	
uni182D1825.initfina001	609	
uni182D1825.initfina010	610	
uni182D1825.initfina011	611	
uni182D1825.medifina001	612	
uni182D1825.medifina010	613	
uni182D1825.medifina011	614	
uni182D1825.initmedi101	615	
uni182D1825.medimedi001	616	
uni182D1825.medimedi100	617	
uni182D1825.medimedi101	618	
uni182D1826.initfina000	619	
uni182D1826.medifina000	620	
uni182D1826.initmedi100	621	
uni182D1826.medimedi000	622	
uni182D1826.initfina001	623	
uni182D1826.initfina010	624	
uni182D1826.initfina011	625	
uni182D1826.medifina001	626	
uni182D1826.medifina010	627	
uni182D1826.medifina011	628	
uni182D1826.initmedi101	629	
uni182D1826.medimedi001	630	
uni182D1826.medimedi100	631	
uni182D1826.medimedi101	632	
uni182D1827.initfina	633	
uni182D1827.medifina	634	
uni182D1827.initmedi	635	
uni182D1827.medimedi	636	
uni182D1827.initfinavar1	637	
uni182D1827.medifinavar1	638	
uni182D1827.initmedivar1	639	
uni182D1827.medimedivar1	640	
uni182D182F.medimedi	641	
uni182D1888.initfinaobsolete	642	
uni182D1888.medifinaobsolete	643	
uni182D1888.initmediobsolete	644	
uni182D1888.medimediobsolete	645	
uni182D1888.initfinavar1obsolete	646	
uni182D1888.medifinavar1obsolete	647	
uni182D1888.initmedivar1obsolete	648	
uni182D1888.medimedivar1obsolete	649	
uni182E.isol	650	U+182E
uni182E.init	651	
uni182E.medi	652	
uni182E.fina	653	
uni182E182E.medimedi	654	
uni182E182F.medimedi	655	
uni182F.isol	656	U+182F
uni182F.init	657	
uni182F.medi	658	
uni182F.fina	659	
uni182F182F.medimedi	660	
uni1830.isol	661	U+1830
uni1830.init	662	
uni1830.medi	663	
uni1830.fina	664	
uni1830.finavar1	665	
uni1830.finavar2	666	
uni1831.isol	667	U+1831
uni1831.init	668	
uni1831.medi	669	
uni1831.fina	670	
uni1832.isol	671	U+1832
uni1832.fina	672	
uni1832.init	673	
uni1832.medi	674	
uni1832.medivar1	675	
uni1833.medivar2	676	
uni1833.isol	677	U+1833
uni1833.fina	678	
uni1833.init	679	
uni1833.medi	680	
uni1833.finaaltobsolete	681	
uni1833.finavar1	682	
uni1833.initvar1	683	
uni1833.medivar1	684	
uni1834.isol	685	U+1834
uni1834.init	686	
uni1834.medi	687	
uni1834.fina	688	
uni1835.isol	689	U+1835
uni1835.init	690	
uni1835.medi	691	
uni1835.fina	692	
uni1835.isolvar1	693	
uni1835.finavar1	694	
uni1836.isol	695	U+1836
uni1836.init	696	
uni1836.medi	697	
uni1836.fina	698	
uni1836.initvar1	699	
uni1836.initvar2	700	
uni1836.medivar1	701	
uni1836.medivar2	702	
uni1836.medivar3	703	
uni1836.finavar1obsolete	704	
uni1837.isol	705	U+1837
uni1837.init	706	
uni1837.medi	707	
uni1837.fina	708	
uni1838.isol	709	U+1838
